Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,904.033325,912.666687,899.433350,906.400024,805.625854,1476811
2017-01-03,906.666687,916.666687,901.466675,911.466675,810.129150,1363398
2017-01-04,916.666687,920.900024,913.666687,917.733337,815.698975,2144739
2017-01-05,921.500000,930.000000,918.666687,928.200012,825.002014,2781498
2017-01-06,930.000000,935.799988,925.066650,927.299988,824.202026,1462912
2017-01-09,928.000000,931.966675,917.799988,920.433350,818.098755,819484
2017-01-10,920.166687,930.000000,918.366638,925.000000,822.157837,1359729
2017-01-11,932.000000,945.233337,930.000000,941.566650,836.882568,1514451
2017-01-12,943.266663,969.533325,942.666687,966.233337,858.806824,2707455
2017-01-13,973.333313,973.333313,954.799988,959.166687,852.525757,1400770
2017-01-16,956.666687,966.666687,954.866638,961.866638,854.925476,1052802
2017-01-17,960.000000,973.299988,960.000000,963.833313,856.673584,1423840
2017-01-18,964.000000,979.333313,964.000000,968.299988,860.643555,1538178
2017-01-19,968.666687,975.333313,963.366638,966.299988,858.866028,1019914
2017-01-20,966.299988,969.266663,940.666687,943.166687,838.304688,2177485
2017-01-23,941.333313,942.000000,921.266663,929.033325,825.742737,3534069
2017-01-24,932.166687,949.333313,932.000000,946.533325,841.296997,1879687
2017-01-25,949.866638,969.333313,946.933350,966.500000,859.043762,2294773
2017-01-27,967.366638,980.166687,955.566650,959.933350,853.207153,1871125
2017-01-30,962.000000,978.000000,958.666687,961.866638,854.925476,2601585
2017-01-31,960.000000,970.000000,951.333313,964.166687,856.969910,1894153
2017-02-01,965.299988,996.566650,964.200012,993.500000,883.041870,3577633
2017-02-02,994.400024,996.000000,980.200012,984.333313,874.894287,2257914
2017-02-03,984.333313,992.000000,971.333313,987.133362,877.382996,1650459
2017-02-06,990.000000,1000.000000,986.266663,989.200012,879.220032,1526715
2017-02-07,986.799988,1003.200012,981.433350,1000.200012,888.997009,2499546
2017-02-08,1003.200012,1007.333313,992.833313,1004.566650,892.878235,1689792
2017-02-09,1005.333313,1007.233337,984.266663,993.799988,883.308472,1529256
